Timestamp,Question 1,Question 2,Question 3,Question 4,Question 5,Question 6,Question 7,Question 8,Question 9,Question 10
5/29/2020 20:32:43,3,1,1,1,3,3,2,1,3,1
5/29/2020 20:39:19,3,1,1,2,3,3,2,3,3,1
5/29/2020 20:42:34,3,2,1,1,3,3,2,3,3,2
5/29/2020 20:54:03,3,2,1,2,3,2,2,3,3,1
5/29/2020 20:57:04,3,1,1,1,3,2,2,1,3,1
5/29/2020 20:57:19,2,1,2,1,3,1,3,2,2,2
5/29/2020 20:57:34,3,1,1,2,3,3,2,1,3,2
5/29/2020 21:03:08,3,2,2,1,3,3,3,3,3,2
5/29/2020 21:19:37,3,1,1,1,2,1,2,2,3,1
5/29/2020 21:31:53,3,2,1,2,3,3,1,3,3,1
5/29/2020 21:34:47,3,2,1,1,1,2,3,3,2,2
5/29/2020 22:02:58,3,2,1,1,3,3,2,3,3,1
5/29/2020 22:51:25,3,2,1,1,3,3,2,3,3,1
5/29/2020 22:52:32,3,2,1,2,3,3,2,3,3,1
5/29/2020 22:54:50,3,2,1,2,3,3,2,3,1,1
5/29/2020 23:26:07,3,2,2,1,3,3,2,3,3,1
5/30/2020 0:09:48,3,2,1,2,2,2,2,2,3,1
