artistId,id,url,palette
earlgrey,1942598,http://static.colourlovers.com/images/patterns/1942/1942598.png,E7E1B9 D4DABA AFDAC5 8591A0 5A5463
earlgrey,1961599,http://static.colourlovers.com/images/patterns/1961/1961599.png,F9E4C5 EAE4C4 E2BD90 F07A76 C88575
earlgrey,1979594,http://static.colourlovers.com/images/patterns/1979/1979594.png,D4CEC9 F0E6DA B38F8C 963529
shsh,2004949,http://static.colourlovers.com/images/patterns/2004/2004949.png,FADDC2 D08D8A 83AB99 C7605E 993D32
shsh,2005088,http://static.colourlovers.com/images/patterns/2005/2005088.png,B99481 B06640 F1D8B2 7B512E 4E3426
earlgrey,2007304,http://static.colourlovers.com/images/patterns/2007/2007304.png,D3C8B4 EECAB1 FE6C63 D4F1DB 240910
earlgrey,2012929,http://static.colourlovers.com/images/patterns/2012/2012929.png,FADDB4 F4C790 BA6868 F2977E 402B30
Capricciosa,2035332,http://static.colourlovers.com/images/patterns/2035/2035332.png,809D7E 030001 390E1B F3C37B BC5133
sugar!,205717,http://static.colourlovers.com/images/patterns/205/205717.png,8BB59D B4E398 96D18C E9FFC7 DBFFA6
Tzadkiel,2068559,http://static.colourlovers.com/images/patterns/2068/2068559.png,4A0C2D 692849 AD5775 E39F96 F9C39F
chelliebellie,2099876,http://static.colourlovers.com/images/patterns/2099/2099876.png,BEC7A8 8D7D73 B5AD97 E8E8A3 DCC674
chelliebellie,2099914,http://static.colourlovers.com/images/patterns/2099/2099914.png,797573 F4D8B7 F37E82 D2D3B9 734C4D
chelliebellie,2100013,http://static.colourlovers.com/images/patterns/2100/2100013.png,797573 734C4D D2D3B9 F4D8B7 F37E82
chelliebellie,2105307,http://static.colourlovers.com/images/patterns/2105/2105307.png,EEF0DA D7E0A7 092032 05121A 05090A
chelliebellie,2105321,http://static.colourlovers.com/images/patterns/2105/2105321.png,FDEADB DFB47F 998D75 869B5A 618054
sugar!,213134,http://static.colourlovers.com/images/patterns/213/213134.png,B4E1A2 418283 72BBA3 2A4A53 201D2D
shsh,214731,http://static.colourlovers.com/images/patterns/214/214731.png,E9DEB0 482C21 A73E2B 2F615E D07E0E
shsh,214990,http://static.colourlovers.com/images/patterns/214/214990.png,505958 6DA396 AEBFA1 CED980 FF8940
chelliebellie,2173127,http://static.colourlovers.com/images/patterns/2173/2173127.png,4F6E75 B6D0D6 50808C 97C5D1 D2D7D9
sugar!,220076,http://static.colourlovers.com/images/patterns/220/220076.png,DD2640 F05535 F9A973 F5E09E 69AFA8
earlgrey,2290455,http://static.colourlovers.com/images/patterns/2290/2290455.png,E7E4D5 C84648 FFF3DB D3C8B4 703E3B
technicolorrr,229530,http://static.colourlovers.com/images/patterns/229/229530.png,6B3647 360727 914E4E 915D4E 94856C
eighthmuse,23148,http://static.colourlovers.com/images/patterns/23/23148.png,F7E7A1 F7F3D7 9FC49F 86B8AF 7797A6
shsh,237252,http://static.colourlovers.com/images/patterns/237/237252.png,BBB997 577874 A35C37 70A389 9E9A4F
surpriseice,2385159,http://static.colourlovers.com/images/patterns/2385/2385159.png,837E78 EEEEEE DCE0DF C1D2CC A1C9C8
earlgrey,2411304,http://static.colourlovers.com/images/patterns/2411/2411304.png,EED7C5 CCCCBB 9EC4BB F7DECE 2D2E2C
shsh,243057,http://static.colourlovers.com/images/patterns/243/243057.png,803B2D 412F2B AC622E A1AB55 7A8D72
sugar!,244168,http://static.colourlovers.com/images/patterns/244/244168.png,2D2D29 215A6D 3CA2A2 92C7A3 DFECE6
sugar!,244838,http://static.colourlovers.com/images/patterns/244/244838.png,2D2D29 215A6D 3CA2A2 92C7A3 DFECE6
Tzadkiel,2486275,http://static.colourlovers.com/images/patterns/2486/2486275.png,E2DC9E 884A61 502540 83B091 000007
Tzadkiel,2487277,http://static.colourlovers.com/images/patterns/2487/2487277.png,E2DC9E 884A61 502540 000007 83B091
Tzadkiel,2487280,http://static.colourlovers.com/images/patterns/2487/2487280.png,2E6681 607B96 CD839C E5B99C F8E088
Tzadkiel,2487521,http://static.colourlovers.com/images/patterns/2487/2487521.png,FBC599 CDBB93 9EAE8A F35F55 335650
eighthmuse,25003,http://static.colourlovers.com/images/patterns/25/25003.png,D0DEAB F7F6EB F7D8CB FFE1C5 FFB3B3
eighthmuse,25021,http://static.colourlovers.com/images/patterns/25/25021.png,FF8F8F FFAA99 FCFCD2 CDDBB4 92B88C
technicolorrr,25023,http://static.colourlovers.com/images/patterns/25/25023.png,607860 004848 A89078 601830 784848
sugar!,251004,http://static.colourlovers.com/images/patterns/251/251004.png,8CAEB3 C5C7B5 FFDDB2 FFBA71 FF8148
shsh,2547404,http://static.colourlovers.com/images/patterns/2547/2547404.png,E0E7CA 8ADECF 60425D D88A20 69778D
shsh,2547407,http://static.colourlovers.com/images/patterns/2547/2547407.png,271720 4F2A38 D12029 DB8B75 7F223D
shsh,2547413,http://static.colourlovers.com/images/patterns/2547/2547413.png,271720 DB8B75 4F2A38 7F223D D12029
shsh,2547420,http://static.colourlovers.com/images/patterns/2547/2547420.png,7F6A52 D94011 310C16 BAB09D 49271C
shsh,2547425,http://static.colourlovers.com/images/patterns/2547/2547425.png,A19F98 DFC6AC FD5C83
shsh,254877,http://static.colourlovers.com/images/patterns/254/254877.png,666151 ADBD33 999E72 CC7C3B C25C3A
shsh,2554811,http://static.colourlovers.com/images/patterns/2554/2554811.png,482C21 A73E2B D07E0E E9DEB0 2F615E
